Dip_ang_deg;Dip_dir_deg;Dip_angle_rad;Dip_dir_rad;X_N;Y_N;Z_N
8;306;0,13962634;5,340707511;0,081803896;-0,112593404;0,990268069
7;308;0,122173048;5,375614096;0,07503026;-0,096034353;0,992546152
8;310;0,13962634;5,410520681;0,089458745;-0,106612781;0,990268069
9;311;0,157079633;5,427973974;0,102630243;-0,118062589;0,987688341
10;309;0,174532925;5,393067389;0,109280339;-0,13494998;0,984807753
6;319;0,104719755;5,567600314;0,078888633;-0,068576842;0,994521895
4;319;0,06981317;5,567600314;0,052645879;-0,045764364;0,99756405
9;322;0,157079633;5,619960191;0,123272041;-0,096310674;0,987688341
2;330;0,034906585;5,759586532;0,030223851;-0,017449748;0,999390827
4;333;0,06981317;5,811946409;0,062153473;-0,031668776;0,99756405
5;334;0,087266463;5,829399702;0,078335063;-0,038206563;0,996194698
7;334;0,122173048;5,829399702;0,10953544;-0,053424004;0,992546152
8;333;0,13962634;5,811946409;0,124004141;-0,063183266;0,990268069
2;340;0,034906585;5,934119457;0,0327948;-0,011936331;0,999390827
3;340;0,052359878;5,934119457;0,049179712;-0,017899951;0,998629535
6;341;0,104719755;5,951572749;0,098833604;-0,034031139;0,994521895
4;343;0,06981317;5,986479334;0,066708448;-0,020394819;0,99756405
7;345;0,122173048;6,021385919;0,117716746;-0,031542107;0,992546152
7;345;0,122173048;6,021385919;0,117716746;-0,031542107;0,992546152
9;346;0,157079633;6,038839212;0,151787693;-0,037844922;0,987688341
11;355;0,191986218;6,195918845;0,19008291;-0,0166301;0,981627183
8;355;0,13962634;6,195918845;0,138643505;-0,012129735;0,990268069
7;356;0,122173048;6,213372137;0,121572476;-0,008501176;0,992546152
6;352;0,104719755;6,143558967;0,103511199;-0,01454755;0,994521895
6;352;0,104719755;6,143558967;0,103511199;-0,01454755;0,994521895
6;353;0,104719755;6,16101226;0,103749324;-0,012738815;0,994521895
5;356;0,087266463;6,213372137;0,086943436;-0,006079677;0,996194698
4;356;0,06981317;6,213372137;0,06958655;-0,004865966;0,99756405
4;348;0,06981317;6,073745797;0,068232127;-0,014503186;0,99756405
8;357;0,13962634;6,23082543;0,138982369;-0,007283757;0,990268069
7;359;0,122173048;6,265732015;0,121850782;-0,002126913;0,992546152
5;0;0,087266463;0;0,087155743;0;0,996194698
4;358;0,06981317;6,248278722;0,06971398;-0,002434466;0,99756405
9;3;0,157079633;0,052359878;0,156220077;0,008187147;0,987688341
6;5;0,104719755;0,087266463;0,104130701;0,009110256;0,994521895
7;7;0,122173048;0,122173048;0,120960948;0,014852137;0,992546152
8;10;0,13962634;0,174532925;0,137058749;0,024167155;0,990268069
8;11;0,13962634;0,191986218;0,136616099;0,02655548;0,990268069
12;10;0,20943951;0,174532925;0,204753045;0,036103486;0,978147601
2;11;0,034906585;0,191986218;0,034258295;0,006659138;0,999390827
3;12;0,052359878;0,20943951;0,05119229;0,010881257;0,998629535
5;12;0,087266463;0,20943951;0,085251181;0,018120698;0,996194698
