6210367.43687577 313068.489398452 -46 1
6210356.16801219 313328.208220925 -46 2
6210344.91483412 313587.927414011 -46 3
6210333.6773415 313847.64697719 -46 4
6210322.45553429 314107.366909944 -45 5
6210311.24941243 314367.08721175 -45 6
6210300.05897587 314626.807882092 -45 7
6210288.88422456 314886.528920448 -44 8
6210277.72515845 315146.2503263 -43 9
6210266.58177747 315405.972099129 -43 10
6210255.4540816 315665.694238415 -43 11
6210244.34207076 315925.416743639 -43 12
6210233.24574491 316185.139614283 -43 13
6210222.165104 316444.862849825 -44 14
6210211.10014797 316704.586449746 -44 15
6210200.05087678 316964.310413528 -44 16
6210189.01729037 317224.034740651 -44 17
6210177.99938869 317483.759430596 -44 18
6210166.99717169 317743.484482844 -44 19
6210156.01063933 318003.209896878 -44 20
6210145.03979154 318262.935672173 -44 21
6210134.08462828 318522.661808214 -44 22
6210123.14514949 318782.388304481 -44 23
6210112.22135513 319042.115160455 -44 24
6210101.31324515 319301.842375616 -44 25
6210090.42081949 319561.569949445 -43 26
6210079.5440781 319821.297881424 -43 27
6210068.68302094 320081.026171035 -43 28
6210057.83764795 320340.754817756 -43 29
6210047.00795908 320600.483821068 -43 30
6210036.19395428 320860.213180453 -43 31
6210025.3956335 321119.942895393 -43 32
6210014.6129967 321379.672965367 -43 33
6210003.84604381 321639.403389857 -43 34
6209993.0947748 321899.134168345 -43 35
6209982.35918961 322158.86530031 -43 36
6209971.63928819 322418.596785234 -43 37
6209960.93507049 322678.328622597 -44 38
6209950.24653646 322938.060811882 -46 39
6209939.57368605 323197.793352568 -48 40
6209928.91651922 323457.526244138 -50 41
6209918.27503591 323717.259486072 -52 42
6209907.64923607 323976.993077852 -53 43
6209897.03911966 324236.727018958 -53 44
6209886.44468661 324496.461308871 -54 45
6209875.8659369 324756.195947073 -55 46
6209865.30287046 325015.930933045 -56 47
6209854.75548725 325275.666266267 -58 48
6209844.22378722 325535.401946223 -59 49
6209833.70777031 325795.137972393 -60 50
6209823.20743649 326054.874344256 -61 51
6209812.72278569 326314.611061295 -61 52
6209802.25381788 326574.348122991 -61 53
6209791.800533 326834.085528826 -61 54
6209781.36293101 327093.823278281 -61 55
6209770.94101186 327353.561370836 -61 56
6209760.53477549 327613.299805974 -61 57
6209750.14422186 327873.038583177 -61 58
6209739.76935092 328132.777701924 -61 59
6209729.41016263 328392.517161696 -61 60
6209719.06665693 328652.256961977 -61 61
6209708.73883378 328911.997102246 -62 62
6209698.42669313 329171.737581986 -62 63
6209688.13023493 329431.478400678 -62 64
6209677.84945913 329691.219557805 -62 65
6209667.58436569 329950.961052845 -63 66
6209657.33495455 330210.702885281 -65 67
6209647.10122568 330470.445054595 -66 68
6209636.88317901 330730.187560268 -67 69
6209626.68081452 330989.930401781 -68 70
6209616.49413214 331249.673578617 -68 71
6209606.32313182 331509.417090256 -69 72
6209596.16781354 331769.160936182 -70 73
6209586.02817722 332028.905115873 -71 74
6209575.90422284 332288.649628813 -73 75
6209565.79595034 332548.394474482 -74 76
6209555.70335967 332808.139652362 -75 77
6209545.62645079 333067.885161936 -76 78
6209535.56522365 333327.631002684 -78 79
6209525.5196782 333587.377174091 -79 80
6209515.4898144 333847.123675633 -80 81
6209505.4756322 334106.870506795 -81 82
6209495.47713155 334366.617667059 -83 83
6209485.49431241 334626.365155905 -84 84
6209475.52717473 334886.112972816 -85 85
6209465.57571847 335145.861117273 -87 86
6209455.63994357 335405.609588758 -88 87
6209445.71985 335665.358386755 -89 88
6209435.8154377 335925.107510742 -90 89
6209425.92670663 336184.856960201 -91 90
6209416.05365674 336444.606734617 -92 91
6209406.196288 336704.356833468 -93 92
6209396.35460034 336964.107256239 -94 93
6209386.52859373 337223.85800241 -95 94
6209376.71826812 337483.609071465 -96 95
6209366.92362347 337743.360462883 -97 96
6209357.14465972 338003.112176146 -98 97
6209347.38137684 338262.864210738 -99 98
6209337.63377478 338522.616566139 -100 99
6209327.90185349 338782.369241832 -101 100
6209318.18561293 339042.122237299 -102 101
6209308.48505305 339301.875552021 -103 102
6209298.80017381 339561.629185482 -103 103
6209289.13097516 339821.383137161 -103 104
6209279.47745705 340081.137406541 -104 105
6209269.83961945 340340.891993105 -104 106
6209260.21746231 340600.646896334 -104 107
6209250.61098558 340860.40211571 -104 108
6209241.02018922 341120.157650716 -104 109
6209231.44507318 341379.913500835 -104 110
6209221.88563742 341639.669665545 -104 111
6209212.3418819 341899.426144332 -104 112
6209202.81380657 342159.182936675 -104 113
6209193.30141138 342418.940042058 -104 114
6209183.80469629 342678.697459963 -104 115
6209174.32366126 342938.455189872 -104 116
6209164.85830625 343198.213231267 -104 117
6209155.4086312 343457.971583631 -104 118
6209145.97463608 343717.730246445 -104 119
6209136.55632084 343977.48921919 -104 120
6209127.15368544 344237.24850135 -104 121
6209117.76672983 344497.008092407 -104 122
6209108.39545397 344756.767991842 -104 123
6209099.03985782 345016.52819914 -104 124
6209089.69994133 345276.288713782 -104 125
6209080.37570446 345536.049535247 -104 126
6209071.06714717 345795.810663021 -104 127
6209061.77426941 346055.572096585 -103 128
6209052.49707114 346315.333835421 -103 129
6209043.23555232 346575.095879012 -103 130
6209033.9897129 346834.85822684 -103 131
6209024.75955284 347094.620878387 -103 132
6209015.5450721 347354.383833138 -103 133
6209006.34627063 347614.147090571 -103 134
6208997.16314839 347873.91065017 -103 135
6208987.99570535 348133.674511417 -103 136
6208978.84394145 348393.438673796 -103 137
6208969.70785665 348653.203136789 -103 138
6208960.58745092 348912.967899876 -103 139
6208951.4827242 349172.732962544 -103 140
